rank,profile_id,rating,name,highest_rating,streak,lowest_streak,highest_streak,games,wins,losses,drops,last_match,last_match_time
147,1143001,1895,Rodrigus,1903.0,3,-10.0,11.0,553,309,244,12,1594346363,1594346363
148,907464,1894,GrandFather,1894.0,7,-4.0,15.0,130,88,42,2,1594666329,1594666329
149,240909,1894,Layer,1894.0,2,-7.0,7.0,267,160,107,7,1594675739,1594675739
150,209118,1894,Sora Kuma,1943.0,1,-5.0,7.0,285,165,120,2,1594350976,1594350976
151,2495166,1894,Thais_,1894.0,4,-5.0,15.0,80,61,19,1,1594440395,1594440395
152,285508,1891,flightlessbird,1957.0,1,-5.0,14.0,169,108,61,0,1593761222,1593761222
153,2171446,1891,DoluNak,1896.0,1,-4.0,16.0,143,95,48,1,1594585609,1594585609
154,1672208,1891,Nobody,1950.0,1,-4.0,5.0,45,28,17,1,1593938910,1593938910
155,3044106,1890,_LHD_xiaohai,1909.0,-1,-4.0,18.0,76,58,18,0,1594670488,1594670488
156,2343109,1890,屠个蛋,1895.0,1,-6.0,9.0,248,150,98,12,1594629149,1594629149
157,1829213,1890,Falcao,1922.0,-3,-5.0,10.0,292,169,123,4,1594682861,1594682861
158,229063,1888,Pike,1897.0,-1,-5.0,8.0,169,105,64,1,1594124924,1594124924
159,222528,1888,repard,2009.0,-1,-9.0,16.0,215,132,83,2,1594682683,1594682683
160,1626982,1886,VIK_WaRRioR,1886.0,1,-8.0,16.0,534,286,248,10,1594664205,1594664205
161,208269,1883,JonSlow,2004.0,1,-11.0,11.0,1727,912,815,13,1594667604,1594667604
162,213355,1882,RoR | Kamigawa,1890.0,-1,-4.0,11.0,98,67,31,2,1594395980,1594395980
163,270315,1881,pushTheTempo,1901.0,7,-6.0,10.0,308,175,133,1,1593080441,1593080441
164,453821,1881,Macluffy,1925.0,-1,-8.0,9.0,1986,1027,959,25,1594239509,1594239509
165,879956,1877,PL_Dziamdziak,1877.0,2,-9.0,13.0,349,191,158,6,1594242639,1594242639
166,260593,1876,GodOfTheGodless,1946.0,1,-7.0,9.0,1140,616,524,29,1594691615,1594691615
167,633255,1876,MrTempo,1882.0,1,-11.0,25.0,818,441,377,17,1594506545,1594506545
168,2783258,1876,_AreS_Whoop,1961.0,2,-6.0,8.0,218,124,94,2,1594694903,1594694903
169,2614814,1871,TaoPaiPai,1871.0,3,-3.0,14.0,87,63,24,0,1594421556,1594421556
170,224949,1871,Collins,1906.0,6,-8.0,13.0,559,294,265,12,1594665972,1594665972
171,267719,1870,Karlotta,1977.0,-3,-7.0,8.0,320,181,139,0,1594683159,1594683159
172,2622255,1869,NguoiChoiCoTiKyNang,1869.0,5,-6.0,14.0,151,96,55,8,1594694846,1594694846
173,2660884,1868,一叶知秋,1910.0,3,-8.0,14.0,575,311,264,23,1594577090,1594577090
174,195601,1866,_Ares_Maverick_,1866.0,3,-7.0,9.0,515,280,235,4,1594469198,1594469198
175,211351,1864,Bad Koala,1899.0,2,-8.0,9.0,393,221,172,9,1594627113,1594627113
176,635884,1864,Andre_2i,1868.0,4,-7.0,8.0,908,482,426,8,1594659944,1594659944
